Table,Variable,Estimate_25_Mile_Radius
B18102,B18102_001E,404288.3514263136
B18102,B18102_002E,193317.72913679873
B18102,B18102_003E,11524.285755784967
B18102,B18102_004E,60.270289880174886
B18102,B18102_005E,11464.015465904791
B18102,B18102_006E,30790.773177281997
B18102,B18102_007E,53.64180234195915
B18102,B18102_008E,30737.131374940036
B18102,B18102_009E,42160.53974011027
B18102,B18102_010E,203.63798377584993
B18102,B18102_011E,41956.90175633441
B18102,B18102_012E,73128.13483865024
B18102,B18102_013E,2775.191019645902
B18102,B18102_014E,70352.94381900434
B18102,B18102_015E,21879.52603600981
B18102,B18102_016E,1697.698101954055
B18102,B18102_017E,20181.82793405576
B18102,B18102_018E,13834.469588961463
B18102,B18102_019E,3228.7106007344983
B18102,B18102_020E,10605.758988226964
B18102,B18102_021E,210970.6222895148
B18102,B18102_022E,11070.341419956876
B18102,B18102_023E,30.877008412988523
B18102,B18102_024E,11039.464411543886
B18102,B18102_025E,29900.538075355267
B18102,B18102_026E,397.977658066377
B18102,B18102_027E,29502.56041728889
B18102,B18102_028E,45228.68043831723
B18102,B18102_029E,587.8901118316794
B18102,B18102_030E,44640.79032648555
B18102,B18102_031E,82553.58811032257
B18102,B18102_032E,1856.9602096291378
B18102,B18102_033E,80696.62790069343
B18102,B18102_034E,24450.783166612095
B18102,B18102_035E,1332.5370576768175
B18102,B18102_036E,23118.246108935273
B18102,B18102_037E,17766.691078950786
B18102,B18102_038E,2965.823551942639
B18102,B18102_039E,14800.867527008148
B18103,B18103_001E,404288.3514263136
B18103,B18103_002E,193317.72913679873
B18103,B18103_003E,11524.285755784967
B18103,B18103_004E,14.075344411648286
B18103,B18103_005E,11510.210411373318
B18103,B18103_006E,30790.773177281997
B18103,B18103_007E,257.28273409466374
B18103,B18103_008E,30533.49044318733
B18103,B18103_009E,42160.53974011027
B18103,B18103_010E,584.1576403939446
B18103,B18103_011E,41576.38209971631
B18103,B18103_012E,73128.13483865024
B18103,B18103_013E,2126.0124579589547
B18103,B18103_014E,71002.12238069129
B18103,B18103_015E,21879.52603600981
B18103,B18103_016E,824.1131371791207
B18103,B18103_017E,21055.412898830695
B18103,B18103_018E,13834.469588961463
B18103,B18103_019E,512.9673072743717
B18103,B18103_020E,13321.502281687091
B18103,B18103_021E,210970.6222895148
B18103,B18103_022E,11070.341419956876
B18103,B18103_023E,189.82664772263126
B18103,B18103_024E,10880.514772234244
B18103,B18103_025E,29900.538075355267
B18103,B18103_026E,348.814836403438
B18103,B18103_027E,29551.723238951825
B18103,B18103_028E,45228.68043831723
B18103,B18103_029E,872.7936779144829
B18103,B18103_030E,44355.88676040275
B18103,B18103_031E,82553.58811032257
B18103,B18103_032E,2775.977334419591
B18103,B18103_033E,79777.61077590298
B18103,B18103_034E,24450.783166612095
B18103,B18103_035E,869.419571267727
B18103,B18103_036E,23581.363595344366
B18103,B18103_037E,17766.691078950786
B18103,B18103_038E,1479.7545491563221
B18103,B18103_039E,16286.936529794464
B18104,B18104_001E,381693.7242505717
B18104,B18104_002E,181793.44338101376
B18104,B18104_003E,30790.773177281997
B18104,B18104_004E,3068.055647498065
B18104,B18104_005E,27722.717529783928
B18104,B18104_006E,42160.53974011027
B18104,B18104_007E,2804.2547682360346
B18104,B18104_008E,39356.28497187422
B18104,B18104_009E,73128.13483865024
B18104,B18104_010E,3665.695047411742
B18104,B18104_011E,69462.4397912385
B18104,B18104_012E,21879.52603600981
B18104,B18104_013E,1058.2529410456334
B18104,B18104_014E,20821.27309496418
B18104,B18104_015E,13834.469588961463
B18104,B18104_016E,1411.7590910620956
B18104,B18104_017E,12422.710497899367
B18104,B18104_018E,199900.28086955796
B18104,B18104_019E,29900.538075355267
B18104,B18104_020E,1462.5253365783633
B18104,B18104_021E,28438.012738776903
B18104,B18104_022E,45228.68043831723
B18104,B18104_023E,2297.483324980051
B18104,B18104_024E,42931.19711333717
B18104,B18104_025E,82553.58811032257
B18104,B18104_026E,4959.948827041837
B18104,B18104_027E,77593.63928328073
B18104,B18104_028E,24450.783166612095
B18104,B18104_029E,1246.60545888888
B18104,B18104_030E,23204.17770772321
B18104,B18104_031E,17766.691078950786
B18104,B18104_032E,2458.933166551168
B18104,B18104_033E,15307.757912399617
B18105,B18105_001E,381693.7242505717
B18105,B18105_002E,181793.44338101376
B18105,B18105_003E,30790.773177281997
B18105,B18105_004E,159.52383905840372
B18105,B18105_005E,30631.24933822359
B18105,B18105_006E,42160.53974011027
B18105,B18105_007E,377.5907278414083
B18105,B18105_008E,41782.94901226886
B18105,B18105_009E,73128.13483865024
B18105,B18105_010E,4126.1350024603435
B18105,B18105_011E,69001.9998361899
B18105,B18105_012E,21879.52603600981
B18105,B18105_013E,2669.6234562097543
B18105,B18105_014E,19209.90257980006
B18105,B18105_015E,13834.469588961463
B18105,B18105_016E,3113.1329060496773
B18105,B18105_017E,10721.336682911786
B18105,B18105_018E,199900.28086955796
B18105,B18105_019E,29900.538075355267
B18105,B18105_020E,103.1512348398776
B18105,B18105_021E,29797.386840515384
B18105,B18105_022E,45228.68043831723
B18105,B18105_023E,689.9592498192596
B18105,B18105_024E,44538.72118849796
B18105,B18105_025E,82553.58811032257
B18105,B18105_026E,7065.000330988827
B18105,B18105_027E,75488.58777933376
B18105,B18105_028E,24450.783166612095
B18105,B18105_029E,3332.725827640964
B18105,B18105_030E,21118.057338971128
B18105,B18105_031E,17766.691078950786
B18105,B18105_032E,6160.936448872204
B18105,B18105_033E,11605.754630078582
B18106,B18106_001E,381693.7242505717
B18106,B18106_002E,181793.44338101376
B18106,B18106_003E,30790.773177281997
B18106,B18106_004E,723.0834932594817
B18106,B18106_005E,30067.689684022513
B18106,B18106_006E,42160.53974011027
B18106,B18106_007E,592.1852480807589
B18106,B18106_008E,41568.3544920295
B18106,B18106_009E,73128.13483865024
B18106,B18106_010E,1769.9624497440223
B18106,B18106_011E,71358.17238890621
B18106,B18106_012E,21879.52603600981
B18106,B18106_013E,655.4066556925732
B18106,B18106_014E,21224.119380317243
B18106,B18106_015E,13834.469588961463
B18106,B18106_016E,1254.1689974618262
B18106,B18106_017E,12580.300591499636
B18106,B18106_018E,199900.28086955796
B18106,B18106_019E,29900.538075355267
B18106,B18106_020E,334.9258514250409
B18106,B18106_021E,29565.61222393022
B18106,B18106_022E,45228.68043831723
B18106,B18106_023E,524.4224131984885
B18106,B18106_024E,44704.25802511874
B18106,B18106_025E,82553.58811032257
B18106,B18106_026E,1557.7676159499533
B18106,B18106_027E,80995.82049437263
B18106,B18106_028E,24450.783166612095
B18106,B18106_029E,910.348295899639
B18106,B18106_030E,23540.434870712455
B18106,B18106_031E,17766.691078950786
B18106,B18106_032E,2833.648780636726
B18106,B18106_033E,14933.04229831406
B18107,B18107_001E,321002.4129979345
B18107,B18107_002E,151002.67020373177
B18107,B18107_003E,42160.53974011027
B18107,B18107_004E,1511.9299243858263
B18107,B18107_005E,40648.609815724434
